variant,N,Wins,Losses,WR_pct,Med_min_to_SL,Med_min_winner_held,Avg_win_move_pct,Avg_loss_move_pct
OR5m  (no filter),442,274,168,62.0,105.0,355.0,0.29,-0.41
OR10m  (no filter),437,285,152,65.2,110.0,350.0,0.27,-0.45
OR15m  (no filter),432,300,132,69.4,125.0,340.0,0.24,-0.47
OR30m  (no filter),405,313,92,77.3,150.0,320.0,0.21,-0.55
OR15m  RSI5m>50 L  /  <50 S,362,259,103,71.5,125.0,340.0,0.24,-0.45
OR15m  RSI5m>55 L  /  <45 S,325,237,88,72.9,142.0,340.0,0.25,-0.47
OR15m  RSI5m>60 L  /  <40 S,270,197,73,73.0,135.0,340.0,0.25,-0.46
OR15m  RSI5m>65 L  /  <35 S,193,144,49,74.6,140.0,345.0,0.26,-0.45
OR15m  RSI5m>70 L  /  <30 S,124,91,33,73.4,145.0,350.0,0.25,-0.45
OR15m  RSI15m>60 L  /  <40 S,199,146,53,73.4,145.0,345.0,0.27,-0.44
OR15m  RSI15m>65 L  /  <35 S,149,108,41,72.5,130.0,345.0,0.26,-0.42
OR15m  RSI5m>60/<40  any gap,270,197,73,73.0,135.0,340.0,0.25,-0.46
OR15m  RSI5m>60/<40  |gap|<=0.5%,240,178,62,74.2,138.0,340.0,0.24,-0.47
OR15m  RSI5m>60/<40  |gap|>0.5%,30,19,11,63.3,125.0,340.0,0.33,-0.42
OR15m  RSI5m>60/<40  |gap|>1.0%,10,8,2,80.0,128.0,312.0,0.35,-0.35
  + tighter RSI5m>65/<35,26,17,9,65.4,110.0,345.0,0.3,-0.29
  + SMA50 align (long above / short below),29,18,11,62.1,125.0,342.0,0.33,-0.42
  + SMA200 align,26,17,9,65.4,110.0,345.0,0.36,-0.29
  + MACD align,27,17,10,63.0,135.0,345.0,0.28,-0.43
OR30m  (no filter),405,313,92,77.3,150.0,320.0,0.21,-0.55
OR30m  RSI5m>60/<40,296,234,62,79.1,178.0,320.0,0.22,-0.56
OR30m  RSI5m>65/<35,209,166,43,79.4,165.0,320.0,0.22,-0.61
OR30m  RSI5m>60/<40  |gap|<=0.5%,262,207,55,79.0,185.0,320.0,0.22,-0.57
OR15m  RSI5m>60  LONG only,143,100,43,69.9,135.0,340.0,0.22,-0.42
OR15m  RSI5m<40  SHORT only,127,97,30,76.4,138.0,340.0,0.28,-0.52
OR30m  RSI5m>60  LONG only,157,119,38,75.8,158.0,315.0,0.21,-0.52
OR30m  RSI5m<40  SHORT only,139,115,24,82.7,190.0,320.0,0.23,-0.63
