label,universe_mode,tech_config,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
MQ_BASELINE,MQ_PURE,none,14.65,0.57,0.69,25.5,0.57,5.08,89,50.6,96.75,-20.79,44962897.0,349.6,,,,"{'hard_stop_loss': 15, 'ath_drawdown_rebalance': 74}"
MQ_HELD_MACD_SMA200_Trail20,MQ_HELD,MACD_SMA200_Trail20,7.46,0.08,0.1,16.79,0.44,2.63,298,57.05,25.78,-13.05,22064869.44,120.65,19.64,"['BAJFINANCE', 'TVSMOTOR', 'KEI']",6.67,"{'Trail_20pct': 138, 'Time_252d': 148, 'End_of_Period': 12}"
MQ_HELD_MACD_SMA200_STExit,MQ_HELD,MACD_SMA200_STExit,7.24,0.06,0.07,13.16,0.55,2.22,397,51.13,23.41,-11.02,21580226.13,115.8,20.77,"['KEI', 'IEX', 'KRBL']",6.42,"{'SL_12pct': 133, 'Time_180d': 232, 'ST_Flip': 20, 'End_of_Period': 12}"
MQ_HELD_ADX25_ADXWeakExit,MQ_HELD,ADX25_ADXWeakExit,5.35,-0.13,-0.16,20.84,0.26,1.56,1067,43.58,11.44,-5.65,17741051.13,77.41,22.74,"['SUZLON', 'KEI', 'TVSMOTOR']",4.96,"{'ADX_Weak_20': 836, 'Trail_15pct': 216, 'Time_252d': 6, 'End_of_Period': 9}"
MQ_HELD_SMA200_CompMom_ATH20,MQ_HELD,SMA200_CompMom_ATH20,8.86,0.18,0.2,22.67,0.39,2.78,293,49.83,37.7,-13.47,25437316.92,154.37,18.99,"['KEI', 'BAJFINANCE', 'IEX']",8.1,"{'ATH_DD_20pct': 190, 'Time_365d': 89, 'End_of_Period': 14}"
MQ_CANDIDATES_MACD_SMA200_Trail20,MQ_CANDIDATES,MACD_SMA200_Trail20,11.27,0.35,0.39,20.19,0.56,2.71,469,52.67,31.68,-13.01,32361924.05,223.62,12.85,"['GRAPHITE', 'HEG', 'DIXON']",10.65,"{'Trail_20pct': 269, 'Time_252d': 180, 'End_of_Period': 20}"
MQ_CANDIDATES_MACD_SMA200_STExit,MQ_CANDIDATES,MACD_SMA200_STExit,11.2,0.35,0.4,23.78,0.47,2.39,614,48.86,28.04,-11.24,32131402.87,221.31,16.96,"['ADANIGREEN', 'DIXON', 'PRESTIGE']",10.25,"{'SL_12pct': 225, 'ST_Flip': 40, 'Time_180d': 329, 'End_of_Period': 20}"
MQ_CANDIDATES_ADX25_ADXWeakExit,MQ_CANDIDATES,ADX25_ADXWeakExit,11.98,0.39,0.44,24.27,0.49,1.85,1748,45.82,15.45,-7.05,34693684.19,246.94,14.62,"['HEG', 'GRAPHITE', 'DIXON']",11.5,"{'ADX_Weak_20': 1173, 'Trail_15pct': 549, 'Time_252d': 6, 'End_of_Period': 20}"
MQ_CANDIDATES_SMA200_CompMom_ATH20,MQ_CANDIDATES,SMA200_CompMom_ATH20,13.36,0.36,0.4,32.08,0.42,3.02,488,48.36,42.7,-13.24,39704952.51,297.05,16.92,"['DIXON', 'DEEPAKNTR', 'HEG']",12.51,"{'ATH_DD_20pct': 394, 'Time_365d': 74, 'End_of_Period': 20}"
ALL_STOCKS_MACD_SMA200_Trail20,ALL_STOCKS,MACD_SMA200_Trail20,11.98,0.38,0.42,19.21,0.62,2.85,492,55.69,30.75,-13.57,34724216.63,247.24,13.37,"['RECLTD', 'GRAPHITE', 'KEI']",11.31,"{'Trail_20pct': 313, 'Time_252d': 159, 'End_of_Period': 20}"
ALL_STOCKS_MACD_SMA200_STExit,ALL_STOCKS,MACD_SMA200_STExit,13.54,0.49,0.54,25.17,0.54,2.74,639,49.92,32.74,-11.92,40432384.6,304.32,17.93,"['HEG', 'ADANIGREEN', 'ADANIENT']",12.3,"{'SL_12pct': 256, 'Time_180d': 325, 'ST_Flip': 38, 'End_of_Period': 20}"
ALL_STOCKS_ADX25_ADXWeakExit,ALL_STOCKS,ADX25_ADXWeakExit,11.93,0.37,0.42,23.63,0.5,1.7,1887,44.14,16.58,-7.72,34538761.69,245.39,15.49,"['ADANIGREEN', 'HEG', 'SUZLON']",11.39,"{'ADX_Weak_20': 1175, 'Trail_15pct': 688, 'Time_252d': 4, 'End_of_Period': 20}"
ALL_STOCKS_SMA200_CompMom_ATH20,ALL_STOCKS,SMA200_CompMom_ATH20,15.07,0.4,0.46,34.41,0.44,3.02,555,47.57,46.11,-13.86,46837676.15,368.38,17.92,"['ADANIGREEN', 'DIXON', 'HEG']",13.87,"{'ATH_DD_20pct': 477, 'Time_365d': 58, 'End_of_Period': 20}"
