label,mode,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,total_pnl,final_value,total_return_pct,trend_long_trades,trend_long_pf,trend_long_pnl,trend_short_trades,trend_short_pf,trend_short_pnl,mr_long_trades,mr_long_pf,mr_long_pnl,mr_short_trades,mr_short_pf,mr_short_pnl,short_sl,rsi_short_entry,short_adx_threshold,capital_util_gate,shorts_blocked_by_gate
BASELINE_LONG_ONLY,LONG_ONLY,9.18,1.48,1.94,7.4,1.24,1.58,3878,46.1,9943095,19927282,99.27,2622,1.6,7929762,0,0,0,1256,1.52,2013333,0,0,0,0.1,70.0,20,0.5,0
MR_SHORT_RSI75_SL3,MR_LS,8.89,1.46,1.91,7.38,1.2,1.52,3969,46.3,9525733,19509920,95.1,2622,1.59,7880739,0,0,0,1262,1.45,1856242,85,0.73,-211249,0.03,75.0,20,0.5,570
MR_SHORT_RSI75_SL5,MR_LS,8.86,1.44,1.87,7.45,1.19,1.52,3971,46.4,9478555,19462742,94.63,2625,1.58,7795191,0,0,0,1262,1.45,1856242,84,0.78,-172879,0.05,75.0,20,0.5,565
MR_SHORT_RSI75_SL7,MR_LS,8.92,1.46,1.91,7.42,1.2,1.53,3965,46.4,9572544,19556732,95.57,2622,1.59,7882009,0,0,0,1262,1.45,1856242,81,0.78,-165707,0.07,75.0,20,0.5,564
MR_SHORT_RSI75_SL10,MR_LS,8.94,1.47,1.92,7.32,1.22,1.53,3965,46.4,9593635,19577823,95.78,2622,1.59,7882622,0,0,0,1262,1.45,1856242,81,0.8,-145229,0.1,75.0,20,0.5,563
MR_SHORT_RSI80_SL3,MR_LS,8.97,1.45,1.9,7.65,1.17,1.55,3896,46.2,9641979,19626167,96.26,2622,1.59,7886923,0,0,0,1262,1.45,1856242,12,0.47,-101186,0.03,80.0,20,0.5,117
MR_SHORT_RSI80_SL5,MR_LS,9.0,1.46,1.91,7.64,1.18,1.55,3896,46.2,9675680,19659867,96.6,2622,1.59,7886923,0,0,0,1262,1.45,1856242,12,0.62,-67485,0.05,80.0,20,0.5,117
MR_SHORT_RSI80_SL7,MR_LS,9.02,1.46,1.92,7.61,1.19,1.55,3896,46.2,9712150,19696337,96.96,2622,1.59,7886923,0,0,0,1262,1.45,1856242,12,0.78,-31015,0.07,80.0,20,0.5,117
MR_SHORT_RSI80_SL10,MR_LS,9.0,1.46,1.91,7.61,1.18,1.55,3896,46.2,9686937,19671125,96.71,2622,1.59,7886923,0,0,0,1262,1.45,1856242,12,0.66,-56228,0.1,80.0,20,0.5,117
MR_SHORT_RSI85_SL3,MR_LS,9.06,1.46,1.91,7.65,1.18,1.56,3885,46.2,9765587,19749774,97.5,2622,1.59,7886923,0,0,0,1262,1.45,1856242,1,99.0,22422,0.03,85.0,20,0.5,18
MR_SHORT_RSI85_SL5,MR_LS,9.06,1.46,1.91,7.65,1.18,1.56,3885,46.2,9765587,19749774,97.5,2622,1.59,7886923,0,0,0,1262,1.45,1856242,1,99.0,22422,0.05,85.0,20,0.5,18
MR_SHORT_RSI85_SL7,MR_LS,9.06,1.46,1.91,7.65,1.18,1.56,3885,46.2,9765587,19749774,97.5,2622,1.59,7886923,0,0,0,1262,1.45,1856242,1,99.0,22422,0.07,85.0,20,0.5,18
MR_SHORT_RSI85_SL10,MR_LS,9.06,1.46,1.91,7.65,1.18,1.56,3885,46.2,9765587,19749774,97.5,2622,1.59,7886923,0,0,0,1262,1.45,1856242,1,99.0,22422,0.1,85.0,20,0.5,18
TREND_SHORT_ADX30_SL3,TREND_LS,7.99,1.35,1.78,7.97,1.0,1.42,4193,44.0,8296950,18281137,82.81,2566,1.52,6892403,371,0.76,-608787,1256,1.52,2013333,0,0,0,0.03,70.0,30,0.5,642
TREND_SHORT_ADX30_SL5,TREND_LS,8.01,1.35,1.8,7.75,1.03,1.42,4177,44.5,8317754,18301941,83.02,2555,1.51,6642616,366,0.87,-338196,1256,1.52,2013333,0,0,0,0.05,70.0,30,0.5,647
TREND_SHORT_ADX30_SL7,TREND_LS,7.89,1.33,1.77,7.78,1.01,1.41,4179,44.4,8164590,18148777,81.49,2554,1.51,6608841,369,0.83,-457585,1256,1.52,2013333,0,0,0,0.07,70.0,30,0.5,644
TREND_SHORT_ADX35_SL3,TREND_LS,8.43,1.37,1.78,8.01,1.05,1.48,4022,45.1,8884734,18868921,88.69,2605,1.53,7118550,161,0.79,-247150,1256,1.52,2013333,0,0,0,0.03,70.0,35,0.5,282
TREND_SHORT_ADX35_SL5,TREND_LS,8.2,1.33,1.74,8.27,0.99,1.46,4023,45.0,8571688,18555876,85.56,2606,1.52,6896333,161,0.73,-337978,1256,1.52,2013333,0,0,0,0.05,70.0,35,0.5,282
TREND_SHORT_ADX35_SL7,TREND_LS,8.15,1.32,1.73,8.27,0.98,1.46,4023,45.0,8502556,18486743,84.87,2606,1.51,6882902,161,0.7,-393680,1256,1.52,2013333,0,0,0,0.07,70.0,35,0.5,282
COMBINED_MR80_SL5_TADX30_SL5,BOTH_LS,7.89,1.34,1.78,7.8,1.01,1.41,4206,44.5,8167793,18151980,81.52,2552,1.51,6660699,374,0.89,-279358,1262,1.45,1856242,18,0.65,-69791,0.05,80.0,30,0.5,739
COMBINED_MR85_SL3_TADX35_SL3,BOTH_LS,8.44,1.37,1.79,8.1,1.04,1.48,4031,45.2,8895386,18879574,88.8,2604,1.53,7140253,164,0.89,-121540,1262,1.45,1856242,1,99.0,20431,0.03,85.0,35,0.5,297
COMBINED_MR80_SL7_TADX30_SL7,BOTH_LS,7.83,1.33,1.76,7.82,1.0,1.4,4204,44.6,8082094,18066281,80.66,2550,1.51,6700196,374,0.84,-430168,1262,1.45,1856242,18,0.75,-44177,0.07,80.0,30,0.5,739
