variant,direction,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
gc_sma_50_200,LONG,324,128,196,39.51,13872.0,-6071.0,35.2,1.49,585658.0,5.66,0.69,13.39,0.42,1552908.0
gc_ema_50_200,LONG,384,146,238,38.02,13084.0,-5812.0,34.8,1.38,526975.0,5.27,0.62,13.94,0.38,1508225.0
gc_ema_20_50,LONG,682,264,418,38.71,17650.0,-7984.0,33.7,1.4,1322485.0,10.43,0.82,24.28,0.43,2210933.0
gc_sma_50_200_stoch,LONG,137,50,87,36.5,11668.0,-5245.0,35.4,1.28,127113.0,1.5,0.32,14.5,0.1,1126321.0
gc_sma_50_200_adx,LONG,219,90,129,41.1,13355.0,-5854.0,36.2,1.59,446843.0,4.46,0.65,8.15,0.55,1418056.0
gc_sma_50_200_confluence,LONG,45,14,31,31.11,11899.0,-5072.0,32.8,1.06,9358.0,0.12,0.06,8.22,0.01,1009358.0
dc_sma_50_200,SHORT,357,92,265,25.77,7713.0,-4457.0,27.9,0.6,-471399.0,-7.73,-0.68,53.13,-0.15,525491.0
dc_ema_50_200,SHORT,377,99,278,26.26,8545.0,-4661.0,28.3,0.65,-449806.0,-7.2,-0.61,48.06,-0.15,550305.0
dc_ema_20_50,SHORT,694,217,477,31.27,7364.0,-4389.0,32.5,0.76,-495443.0,-8.28,-0.54,62.59,-0.13,501009.0
dc_sma_50_200_stoch,SHORT,156,41,115,26.28,9077.0,-4798.0,29.1,0.67,-179626.0,-2.51,-0.45,22.2,-0.11,815927.0
dc_sma_50_200_adx,SHORT,231,50,181,21.65,7110.0,-4673.0,27.1,0.42,-490363.0,-8.15,-0.87,50.63,-0.16,506755.0
dc_sma_50_200_confluence,SHORT,45,8,37,17.78,8292.0,-5762.0,28.0,0.31,-146861.0,-1.97,-0.69,15.34,-0.13,853139.0
